path_no,x(m),y(m)
103,-10.185229809692018,28.441775854664474
104,-10.185227138920416,28.44177494074717
105,-10.185224467905542,28.441774026755393
106,-10.185221796647385,28.441773112689116
107,-10.185219125145922,28.44177219854838
108,-10.185216453401145,28.44177128433319
109,-10.185213781412836,28.441770370043486
110,-10.1852111091809,28.441769455679186
111,-10.18520843670549,28.44176854124032
112,-10.1852057639866,28.441767626726904
113,-10.185203091024208,28.44176671213895
114,-10.18520041781831,28.44176579747647
115,-10.18519774436888,28.44176488273948
116,-10.18519507067591,28.441763967927983
117,-10.18519239673938,28.441763053042
118,-10.185189722559281,28.441762138081522
119,-10.185187048136543,28.44176122304732
120,-10.18518437347152,28.441760307943017
121,-10.185181698562577,28.441759392768798
122,-10.185179023409686,28.44175847752475
123,-10.185176348012842,28.44175756221086
124,-10.185173672372043,28.4417566468271
125,-10.185170996487262,28.441755731373547
126,-10.185168320358493,28.44175481585019
127,-10.18516564398571,28.44175390025702
128,-10.185162967368905,28.44175298459404
129,-10.185160290508056,28.441752068861284
130,-10.185157613403163,28.44175115305877
131,-10.185154936054195,28.441750237186508
132,-10.185152258461152,28.441749321244508
133,-10.185149580624007,28.44174840523277
134,-10.185146902542753,28.441747489151314
135,-10.18514422421737,28.441746573000145
136,-10.185141545647843,28.441745656779272
137,-10.185138866834155,28.441744740488726
138,-10.185136187776298,28.441743824128505
139,-10.185133508474243,28.441742907698643
140,-10.185130828928,28.441741991199063
141,-10.185128149139967,28.441741074632283
142,-10.18512546910941,28.441740158001238
143,-10.18512278883476,28.44173924130558
144,-10.185120108316088,28.441738324545348
145,-10.185117427553376,28.44173740772054
146,-10.185114746546612,28.441736490831186
147,-10.18511206529578,28.441735573877278
148,-10.185109383800862,28.44173465685884
149,-10.185106702061853,28.441733739775877
150,-10.185104020078725,28.441732822628396
151,-10.185101337851474,28.441731905416418
152,-10.185098655380083,28.44173098813995
153,-10.185095972664536,28.441730070799004
154,-10.18509328970482,28.441729153393588
155,-10.185090606500918,28.441728235923723
156,-10.185087923052821,28.441727318389404
157,-10.185085239360504,28.441726400790657
158,-10.185082555423962,28.441725483127488
159,-10.185079871243175,28.441724565399905
160,-10.185077186818132,28.44172364760792
161,-10.185074502148812,28.44172272975154
162,-10.18507181723523,28.4417218118308
163,-10.185069132077418,28.441720893845737
164,-10.185066446675291,28.44171997579635
165,-10.185063761028843,28.44171905768264
166,-10.185061075138048,28.441718139504655
167,-10.185058389002904,28.44171722126236
168,-10.185055702623382,28.441716302955765
169,-10.185053015999463,28.441715384584924
170,-10.185050329127728,28.441714466148717
171,-10.185047642010373,28.44171354764785
172,-10.18504495464762,28.441712629082424
173,-10.185042267039456,28.44171171045244
174,-10.18502955573958,28.439441235592945
175,-10.184980505973437,28.428695647740447
176,-10.184893825706853,28.41034169078945
177,-10.18478699268339,28.388861940493296
178,-10.184632810418911,28.364266777905268
179,-10.184475321035636,28.338247795999774
180,-10.184354275991776,28.312144404424803
181,-10.184256908281574,28.28617672288096
182,-10.184171001365835,28.260247352280707
183,-10.18412269941789,28.23422560240483
184,-10.18410385832057,28.20812804438651
185,-10.184084600324102,28.182170182956643
186,-10.184059196628622,28.156246825010307
187,-10.184033009773483,28.13023039642817
188,-10.18401059437021,28.104135765534142
189,-10.183985944991266,28.078180504407086
190,-10.183954899775364,28.052256153458153
191,-10.183923059042202,28.026238709480165
192,-10.183895211778943,28.000144029257616
193,-10.183864245549998,27.974191413438533
194,-10.183827111842286,27.94826585399863
195,-10.183789261045257,27.922247114313567
196,-10.183733372901107,27.896166460172314
197,-10.183578527966361,27.870240289812493
198,-10.183322626036702,27.844341789091438
199,-10.18298828247533,27.818338107475498
200,-10.182591481351952,27.79225865285041
201,-10.18212205442859,27.76631190400612
202,-10.181545388151612,27.74043733031808
203,-10.180853075229612,27.715270443323142
204,-10.180058179506734,27.68979891066379
205,-10.179132693698588,27.663925605575812
206,-10.178074395902602,27.63806259138782
207,-10.17690615675256,27.612091862531162
208,-10.175672699059321,27.586045088027067
209,-10.174382725457445,27.56014100620905
210,-10.17304543295356,27.534260533372244
211,-10.171671135633138,27.5082834088028
212,-10.17029238491035,27.482233487658345
213,-10.16891999076015,27.456322254460176
214,-10.167563305206853,27.430425104876356
215,-10.166221380926922,27.40443641804751
216,-10.164909000913182,27.378368699309746
217,-10.16363809492516,27.352445640077843
218,-10.162405261020105,27.326539668395498
219,-10.161186796088902,27.300544775771606
220,-10.15999409513218,27.274470047165654
221,-10.158840997421859,27.248539625737106
222,-10.157732608856671,27.222623771753394
223,-10.156674856540869,27.196612612406263
224,-10.155666989747587,27.1705253395252
225,-10.154696903295884,27.144579823881315
226,-10.153750950378193,27.11866332215809
227,-10.152825129962414,27.09264797391607
228,-10.151948407173306,27.066554748978827
229,-10.151109082442986,27.040607528364937
230,-10.150303219817049,27.014681776447002
231,-10.14954575027434,26.988657488934763
232,-10.148848500005593,26.962548676146483
233,-10.148225296351594,26.936591730802178
234,-10.147665051889504,26.910655946101013
235,-10.147173425616739,26.884607685021546
236,-10.14681955113798,26.858464248810062
237,-10.14660601670007,26.83248383265123
238,-10.146475312388842,26.80653021824169
239,-10.14647424259799,26.780468783834664
240,-10.146602738969115,26.754336388685555
241,-10.146830881584318,26.72836617249718
242,-10.147153536244225,26.702417015096998
243,-10.147562559161262,26.676370791474078
244,-10.148056707442043,26.65026133856953
245,-10.148607791863483,26.624328080057754
246,-10.149224024751701,26.598393780257883
247,-10.149892498057069,26.57236138995112
248,-10.150629494682748,26.54626357053869
249,-10.151416188130312,26.52036912412856
250,-10.152257271739346,26.494440789057393
251,-10.153147858569508,26.468416534210007
252,-10.154085510119184,26.442339846103845
253,-10.155029208104294,26.41645910196636
254,-10.155985254248446,26.390541147984823
255,-10.156951621040509,26.36452788149644
256,-10.157931691365976,26.33845818747227
257,-10.158923811963998,26.312559314432495
258,-10.159945538353407,26.286641311217224
259,-10.160979043539378,26.26062962837461
260,-10.162017818158063,26.23456973191889
261,-10.16304240660939,26.208683493221947
262,-10.164076472850521,26.182766059547706
263,-10.165112017221663,26.15675788929695
264,-10.166115431449278,26.130701473517874
265,-10.167085362109793,26.104816792530418
266,-10.168040983266241,26.078903829545858
267,-10.168972073462287,26.052890764919834
268,-10.169879508661536,26.026832705457014
269,-10.17071855319412,26.000931036052464
270,-10.171526117407005,25.97501200400058
271,-10.172301229992794,25.948995978533905
272,-10.173027929935026,25.92293266425397
273,-10.173686807726645,25.897024024812485
274,-10.17432049628916,25.871097898295066
275,-10.174924536996178,25.845074895278294
276,-10.175488245730614,25.819005359296757
277,-10.175989374493701,25.793093848942483
278,-10.176471297016521,25.76716170354279
279,-10.176925488362476,25.741133641532034
280,-10.177354822576673,25.71505372302368
281,-10.177759811333166,25.689146982731316
282,-10.178153626645976,25.663210355975398
283,-10.17852194904839,25.637178932673265
284,-10.178872474120604,25.611097164036135
285,-10.179194216848515,25.585211348099264
286,-10.179480734992957,25.559274695245414
287,-10.179742496867226,25.533240349740417
288,-10.179992606435372,25.507157119122677
289,-10.180218373508913,25.48126747647401
290,-10.180412963292024,25.455327597236046
291,-10.180584710902012,25.429291148391023
292,-10.180748092559039,25.40320575037323
293,-10.180903293020162,25.377295471922466
294,-10.181063903121839,25.35134656078944
295,-10.181226901286214,25.325305516240125
296,-10.18139963725768,25.29921928519543
297,-10.181564805690751,25.27331151452232
298,-10.18173010729546,25.247364325645133
299,-10.181881036198023,25.221324888941773
300,-10.182017749563965,25.195247416317773
301,-10.182107779920077,25.169352523123862
302,-10.182172343656562,25.143404716052697
303,-10.182237126201263,25.117361173242138
304,-10.182312153482329,25.091276144569235
305,-10.182379437937698,25.065368416179957
306,-10.182450921310387,25.039415694793206
307,-10.182524292212857,25.013370914060452
308,-10.18260798856712,24.987286637694627
309,-10.182683861926112,24.961380362326388
310,-10.18276408371133,24.93542673541302
311,-10.182846264454321,24.909380926206076
312,-10.182938831531388,24.88329752394647
313,-10.183023428045674,24.85739278132443
314,-10.183129236650176,24.831431415111215
315,-10.183296491890532,24.805365849897935
316,-10.1835330052455,24.779266430279232
317,-10.183798016623987,24.753351714778447
318,-10.184116763159023,24.7273880172646
319,-10.184487570420602,24.70133298117577
320,-10.184898851229473,24.675242984816755
321,-10.185332915629784,24.649357218693375
322,-10.185785821642748,24.623401307342817
323,-10.186264414880016,24.597349727555823
324,-10.186773118306306,24.571270075535963
325,-10.187274238371996,24.545373548658706
326,-10.187789991455434,24.519420339828898
327,-10.188310842304372,24.493374880201372
328,-10.188839549184529,24.467300372114213
329,-10.189355149202518,24.44140999961744
330,-10.18987956162813,24.41545619611539
331,-10.190378907690954,24.39026205354875
332,-10.19084966788914,24.364919093997653
333,-10.191268297680864,24.339083413248485
334,-10.19168334740295,24.313137422215604
335,-10.192081836960847,24.28709730510667
336,-10.192450207223894,24.261026465102766
337,-10.19277534669553,24.235131914184098
338,-10.193089628250451,24.209179861394016
339,-10.193389950297135,24.183136890012054
340,-10.193666513898403,24.157065461821816
341,-10.193902730444433,24.131170972517427
342,-10.194131696251496,24.105216371167437
343,-10.194348315409002,24.07917122392024
344,-10.194545161035999,24.053099810137464
345,-10.194704105240378,24.02720481501487
346,-10.194859034631497,24.001247958288136
347,-10.195008091712934,23.975197991448194
348,-10.195167092810227,23.94911937994539
349,-10.195317190370735,23.923222060251796
350,-10.195472624358477,23.897262380519763
351,-10.195626959734222,23.871212991984674
352,-10.195773642629046,23.845141301454518
353,-10.195886781104754,23.81925944391096
354,-10.195977274918347,23.793301786744667
355,-10.196068268072166,23.767248875915318
356,-10.196170520834295,23.74117286801236
357,-10.196263341566553,23.715275296978913
358,-10.196361247045328,23.689313050128927
359,-10.196461286289061,23.66325911286195
360,-10.196572518464837,23.637184471168723
361,-10.196674555719035,23.611287815865605
362,-10.19678161675122,23.585324477843727
363,-10.196887176534421,23.559271655170626
364,-10.196984634661446,23.533204295055427
365,-10.197056265911353,23.507310038151076
366,-10.197132390070491,23.481345351924137
367,-10.197210585762695,23.455289186268182
368,-10.197300334769007,23.429217769719013
369,-10.19737989625163,23.40332212167302
370,-10.197464647112712,23.377356338750097
371,-10.197547791672287,23.351301374048667
372,-10.197622974097015,23.32523749345969
373,-10.197672208895291,23.299343986180858
374,-10.197726065766078,23.27337696763532
375,-10.197781942910295,23.24731860739295
376,-10.197850279270206,23.221250927945107
377,-10.197906012938676,23.195355889120247
378,-10.19796770517373,23.169387683224524
379,-10.198031488443355,23.143328125660236
380,-10.198107608393757,23.11726228326277
381,-10.198166991764158,23.091372191504455
382,-10.19821342312086,23.065406653712785
383,-10.19824805248361,23.039346970774282
384,-10.198295091705791,23.013283725712114
385,-10.198326654460779,22.98738956770743
386,-10.19836528026443,22.961419152214113
387,-10.198406061000071,22.935357468459504
388,-10.198460126225386,22.909296203125717
389,-10.198499427144847,22.883402014518783
390,-10.198545569796089,22.857430599597016
391,-10.198593861341985,22.83136788236072
392,-10.198648973123642,22.805312168516117
393,-10.198675815700007,22.779423189908115
394,-10.198692216536688,22.753451775977553
395,-10.198711076966575,22.727388187405644
396,-10.198744610622692,22.701332592627175
397,-10.198760886814881,22.67543894671179
398,-10.198785074671774,22.64946506929184
399,-10.198811887192994,22.62340037932499
400,-10.198852711585282,22.59734704698535
401,-10.19887741464634,22.57145280591866
402,-10.19890946293081,22.54547784371061
403,-10.198943923165256,22.519411908943297
404,-10.198991661294563,22.49336095914085
405,-10.199019662435365,22.46747058556943
406,-10.199035794301729,22.441497809407203
407,-10.199041040634366,22.415430759410004
408,-10.19905802858229,22.38938262406216
409,-10.199057699867241,22.363489240796827
410,-10.199063148377045,22.33751168568342
411,-10.199070879966543,22.31144343185456
412,-10.199092970848662,22.285399616233924
413,-10.199098166263664,22.25950484977573
414,-10.19910993925183,22.233526406851453
415,-10.19912538401428,22.207457626759286
416,-10.199154232232381,22.181416584823264
417,-10.199167818663673,22.15551984147237
418,-10.199188233327177,22.12954010795056
419,-10.199211664410361,22.103470179319576
420,-10.1992475523925,22.07743191152846
421,-10.199265119732772,22.051538418234415
422,-10.19927409180904,22.025559093614483
423,-10.199285072791763,21.999488351959986
424,-10.199308819695029,21.97345431370117
425,-10.199318471223734,21.947555875164166
426,-10.199334330098088,21.9215737874989
427,-10.1993535631341,21.89550190759137
428,-10.199384727976906,21.869470687944766
429,-10.199398668039876,21.843574998217466
430,-10.1994038028612,21.81759344694048
431,-10.199409963613967,21.79151989160025
432,-10.199427722789634,21.765492463698124
433,-10.199432747099754,21.739592198201915
434,-10.199441956558076,21.71360785755305
435,-10.199454819429025,21.687534059288357
436,-10.19947880225761,21.661510435703825
437,-10.199491503017203,21.635608174624227
438,-10.199509150614123,21.60962284161026
439,-10.199526507172116,21.583550510548868
440,-10.199533795757404,21.55753332736489
441,-10.199522408382487,21.53163191062637
442,-10.199509599815595,21.505645302600474
443,-10.19949798193362,21.479565781655072
444,-10.199491026467157,21.45354094422037
445,-10.199473844043448,21.42763994614117
446,-10.199455863342653,21.40165223631185
447,-10.199439199056323,21.375572208505663
448,-10.1994268146272,21.349550029729652
449,-10.199404196623847,21.32364798149079
450,-10.199380210377479,21.297659045695205
451,-10.199357639690788,21.27157827021871
452,-10.199338406772673,21.245559001182702
453,-10.199309479983187,21.219655792785904
454,-10.199278845691854,21.193665818020115
455,-10.199249671768332,21.16758426964443
456,-10.199223306832486,21.141567894995354
457,-10.199187118905456,21.11566342983377
458,-10.199149012336365,21.089672251632592
459,-10.19911241910829,21.063589850826382
460,-10.199078651555764,21.037576390996865
461,-10.199034219620732,21.011670755698148
462,-10.198987839408733,20.985678577680456
463,-10.198943021501396,20.959595503034937
464,-10.19890070808913,20.93358547200423
465,-10.198847237190398,20.907678291912298
466,-10.19879208992331,20.881684868150046
467,-10.19873850033541,20.8556008085525
468,-10.198687437229616,20.82959413354952
469,-10.198624279960148,20.803685528020782
470,-10.198559695695728,20.77769107362311
471,-10.198496671511702,20.751606263342225
472,-10.198436306604302,20.72560325987728
473,-10.198362830455123,20.699693102442858
474,-10.198288078626456,20.673697460894093
475,-10.198214903658464,20.647611843943494
476,-10.198143985142885,20.621612727427305
477,-10.198059755521495,20.595701064121183
478,-10.197974417924938,20.56970438170528
479,-10.197890627215106,20.543618003540125
480,-10.197809168653475,20.51762247182238
481,-10.197713679810422,20.491709388646825
482,-10.197619395878675,20.46571039997677
483,-10.197534367214345,20.439622498919714
484,-10.197452289759786,20.413630029766196
485,-10.197356067834772,20.387716003687448
486,-10.197261039613583,20.361716005012465
487,-10.19717502025151,20.335627482683126
488,-10.19709179087224,20.309637822004404
489,-10.196994390179395,20.283722883313974
490,-10.19689611632146,20.257722738578845
491,-10.196799509905327,20.231634204924898
492,-10.196704701889217,20.205647496529153
493,-10.196595662452046,20.179731765075477
494,-10.196485827847113,20.153730598719964
495,-10.196377624022874,20.127641441305304
496,-10.196271273842191,20.101657459767782
497,-10.196150276763392,20.075741023885495
498,-10.196028490711461,20.049738669127976
499,-10.195908320438976,20.02364884038575
500,-10.195789813306725,19.997667443001482
501,-10.195656609611893,19.97175061229624
502,-10.195522639212072,19.94574723375838
503,-10.19539509861282,19.919652022399372
504,-10.195288518129859,19.89366894009413
505,-10.195181158212847,19.867749763311938
506,-10.195074374784923,19.84174452473472
